Receipt no,Date,Employee,Type,Total
"1-0058","Aug 10, 2026 11:28 AM","Owner","Sale",50.00
"1-0057","Aug 10, 2026 09:27 AM","Owner","Sale",50.00
"1-0056","Aug 09, 2026 09:10 PM","Owner","Sale",47.00
"1-0055","Aug 09, 2026 09:09 PM","Owner","Sale",50.00
"1-0054","Aug 09, 2026 07:42 PM","Owner","Sale",19.00
"1-0053","Aug 09, 2026 06:02 PM","Owner","Sale",200.00
"1-0052","Aug 09, 2026 03:21 PM","Owner","Sale",45.00
"1-0051","Aug 09, 2026 03:16 PM","Owner","Sale",12.00
"1-0050","Aug 09, 2026 02:56 PM","Owner","Sale",15.00
"1-0049","Aug 09, 2026 02:47 PM","Owner","Sale",10.00
"1-0048","Aug 09, 2026 02:43 PM","Owner","Sale",15.00
"1-0047","Aug 09, 2026 02:38 PM","Owner","Sale",75.00
"1-0046","Aug 09, 2026 02:35 PM","Owner","Sale",30.00
"1-0045","Aug 09, 2026 12:47 PM","Owner","Sale",8.00
"1-0044","Aug 09, 2026 12:17 PM","Owner","Sale",20.00
"1-0043","Aug 09, 2026 11:25 AM","Owner","Sale",15.00
"1-0042","Aug 09, 2026 10:09 AM","Owner","Sale",12.00
"1-0041","Aug 09, 2026 10:06 AM","Owner","Sale",15.00
"1-0040","Aug 08, 2026 11:35 PM","Owner","Sale",140.00
"1-0039","Aug 08, 2026 11:07 PM","Owner","Sale",10.00
"1-0038","Aug 08, 2026 11:06 PM","Owner","Sale",150.00
"1-0037","Aug 08, 2026 11:02 PM","Owner","Sale",20.00
"1-0036","Aug 08, 2026 10:53 PM","Owner","Sale",204.00
"1-0035","Aug 08, 2026 10:51 PM","Owner","Sale",160.00
"1-0034","Aug 08, 2026 10:36 PM","Owner","Sale",50.00
"1-0033","Aug 08, 2026 10:26 PM","Owner","Sale",160.00
"1-0032","Aug 08, 2026 10:21 PM","Owner","Sale",15.00
"1-0031","Aug 08, 2026 10:18 PM","Owner","Sale",30.00
"1-0030","Aug 08, 2026 10:13 PM","Owner","Sale",15.00
"1-0029","Aug 08, 2026 09:49 PM","Owner","Sale",140.00
"1-0027","Aug 08, 2026 09:47 PM","Owner","Sale",10.00
"1-0026","Aug 08, 2026 09:42 PM","Owner","Sale",22.00
"1-0025","Aug 08, 2026 09:36 PM","Owner","Sale",30.00
"1-0024","Aug 08, 2026 09:02 PM","Owner","Sale",157.00
"1-0022","Aug 08, 2026 08:35 PM","Owner","Sale",17.00
"1-0021","Aug 08, 2026 08:14 PM","Owner","Sale",30.00
"1-0020","Aug 08, 2026 08:12 PM","Owner","Sale",47.00
"1-0019","Aug 08, 2026 08:06 PM","Owner","Sale",106.00
"1-0018","Aug 08, 2026 08:02 PM","Owner","Sale",203.00
"1-0017","Aug 08, 2026 07:58 PM","Owner","Sale",45.00
