Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart]
don-frank-strwbrry,10049,DON FRANK STRWBRRY,FOOD,,N,,,,,,,0.00,4809012601139,,,N,Y,19.50,,
don-frank-white,10055,DON FRANK WHITE,FOOD,,N,,,,,,,0.00,4809012601146,,,N,Y,19.50,,
don-frank-yellow,10054,DON FRANK YELLOW,FOOD,,N,,,,,,,0.00,4809012601016,,,N,Y,19.50,,
downy-antibac,10024,DOWNY ANTIBAC,Cleaning/Laundry Supplies,<p>GREEN / KONTRA KULOB</p>,N,,,,,,,0.00,4902430873703,,,Y,Y,8.98,9.000,
downy-garden-bloom-26ml,980000025,DOWNY GARDEN BLOOM 26ML,Cleaning/Laundry Supplies,,N,,,,,,,6.23,4902430453295,,,Y,Y,8.98,60.000,
downy-garden-bloom-75ml,980000030,DOWNY GARDEN BLOOM 75ML,Cleaning/Laundry Supplies,,N,,,,,,,16.35,4902430513074,,,Y,Y,21.98,12.000,
downy-kontra--germs-26ml,980000027,DOWNY KONTRA  GERMS 26ML,Cleaning/Laundry Supplies,,N,,,,,,,6.23,4902430344876,,,Y,Y,8.98,36.000,
downy-mystique-26ml,980000028,DOWNY MYSTIQUE 26ML,Cleaning/Laundry Supplies,,N,,,,,,,6.23,4902430729925,,,Y,Y,8.98,36.000,
downy-passion-26ml,980000029,DOWNY PASSION 26ML,Cleaning/Laundry Supplies,,N,,,,,,,6.23,4902430729901,,,Y,Y,8.98,30.000,
downy-sunrise-fresh-26ml,980000026,DOWNY SUNRISE FRESH 26ML,Cleaning/Laundry Supplies,,N,,,,,,,6.23,4902430401845,,,Y,Y,8.98,36.000,
downy-sunrise-fresh-75ml,980000031,DOWNY SUNRISE FRESH 75ML,Cleaning/Laundry Supplies,,N,,,,,,,16.35,4902430513081,,,Y,Y,21.98,12.000,
eagle-brown-sugar-250g,10319,EAGLE BROWN SUGAR 250G,FOOD,,N,,,,,,,20.00,4809011529168,,,Y,Y,24.00,3.000,
eagle-glue-40gm,10314,EAGLE GLUE 40gm,HOME ESSENTIALS,,N,,,,,,,22.50,6928977601256,,,Y,Y,30.00,12.000,
eagle-refine-sugar-250g,10318,EAGLE REFINE SUGAR 250G,FOOD,,N,,,,,,,23.00,4809011529151,,,Y,Y,28.98,5.000,
eden-cheese-160g,10449,EDEN CHEESE 160G,,,N,,,,,,,58.25,4808647020094,,,Y,Y,65.50,3.000,
eden-cheese-45g,10450,EDEN CHEESE 45G,,,N,,,,,,,17.55,7622210892126,,,Y,Y,22.89,7.000,
efficascent25,10005,EFFICASCENT25,ESSENTIAL OILS,<p>25ML</p>,N,,,,,,,0.00,48035156,,,Y,Y,28.50,6.000,5.000
efficascent50,10000,EFFICASCENT50,ESSENTIAL OILS,<p>50ML</p>,N,,,,,,,0.00,4800011133430,,,Y,Y,53.00,9.000,5.000
efficascentx50,10007,EFFICASCENTX50,ESSENTIAL OILS,<p>50ML</p>,N,,,,,,,0.00,4800011132938,,,Y,Y,90.00,9.000,5.000
energen-choco,10172,ENERGEN CHOCO,FOOD,,N,,,,,,,8.45,8996001440049,,,Y,Y,12.00,28.000,
energen-vnla,10171,ENERGEN VNLA,FOOD,,N,,,,,,,8.65,8996001440124,,,Y,Y,12.00,3.000,5.000
escobar-light-1l,10296,ESCOBAR LIGHT 1L,DRINKS,,N,,,,,,,168.30,8410028903252,,,Y,Y,205.00,0.000,
eveready-battery-aa,10303,EVEREADY BATTERY AA,HOME ESSENTIALS,,N,,,,,,,19.50,34800042112177,,,Y,Y,25.00,11.000,
eveready-battery-aaa,10302,EVEREADY BATTERY AAA,HOME ESSENTIALS,,N,,,,,,,23.50,8888021800098,,,Y,Y,25.00,10.000,
fish-crackers,98000072,FISH CRACKERS 24G,SNACKS,,N,,,,,,,7.40,4800194116619,,,Y,Y,10.00,10.000,
fita-spreadz,10327,FITA SPREADZ,FOOD,,N,,,,,,,6.95,,,,Y,Y,9.98,0.000,
fruit-salad-1,10236,FRUIT SALAD,SNACKS,,N,,,,,,,5.75,4806529170264,,,Y,Y,8.00,0.000,
fuego-match,10044,FUEGO MATCH - PIECE,HOME ESSENTIALS,,N,,,,,,,0.00,4800112256151,,,N,Y,3.00,,
fun-size!-piattos-cheese-flavor-potato-crisps,98000068,FUN SIZE! PIATTOS CHEESE 18G,SNACKS,,N,,,,,,,6.66,,,,Y,Y,10.50,16.000,5.000
fun-size!-piattos-cheese-flavor-potato-crisps-pack,98000067,FUN SIZE! PIATTOS CHEESE 18G PACK,SNACKS,,N,,,,,,,53.28,4800016677977,,,Y,Y,75.00,4.000,
fundador-light,10121,FUNDADOR LIGHT,DRINKS,,N,,,,,,,0.00,8410162100296,,,Y,Y,420.00,3.000,
ganador-oliver-5kg,98000062,GANADOR OLIVER 5KG,RICE,,N,,,,,,,277.50,480901141445,,,Y,Y,310.00,9.000,5.000
gatorade-(blue-bolt)-500ml,10238,GATORADE (BLUE BOLT) 500ML,DRINKS,,N,,,,,,,42.00,4803925061141,,,Y,Y,48.00,5.000,5.000
gatorade-blue-bolt-350ml,10190,GATORADE BLUE BOLT 350ML,DRINKS,,N,,,,,,,25.83,4803925350054,,,Y,Y,35.00,14.000,
gatorade-tropical-fruit-500ml,10191,GATORADE TROPICAL FRUIT 500ML,DRINKS,,N,,,,,,,36.58,,,,Y,Y,46.00,2.000,
generic-dw-liq---cal,10091,GENERIC DW LIQ - GRE S,Cleaning/Laundry Supplies,,N,,,,,,,0.00,,,,Y,Y,20.00,103.000,
generic-dw-liq---pnk-m,10133,GENERIC DW LIQ - PNK M,,,N,,,,,,,0.00,,,,Y,Y,30.00,38.000,
generic-dw-liq---pnk-m-1,10134,GENERIC DW LIQ - PNK M,Cleaning/Laundry Supplies,,N,,,,,,,0.00,,,,Y,Y,25.00,38.000,
generic-dw-liq---pnk-s,10132,GENERIC DW LIQ - PNK S,Cleaning/Laundry Supplies,,N,,,,,,,0.00,,,,Y,Y,20.00,55.000,
generic-dw-liq---ylw-m,10131,GENERIC DW LIQ - YLW M,Cleaning/Laundry Supplies,,N,,,,,,,0.00,,,,Y,Y,30.00,38.000,
generic-dw-liq---lem,10027,GENERIC DW LIQ - YLW S,Cleaning/Laundry Supplies,<p>LEMON / YELLOW</p>,N,,,,,,,0.00,,,,Y,Y,20.00,251.000,
gillette-rubie-blade,10316,GILLETTE RUBIE BLADE,HOME ESSENTIALS,,N,,,,,,,0.00,4800037111047,,,Y,Y,15.00,9.000,
golden-me-bihon,98000092,GOLDEN ME BIHON,FOOD,,N,,,,,,,18.85,4806505855697,,,Y,Y,25.00,10.000,
great-taste-choco,10221,GREAT TASTE CHOCO,FOOD,,N,,,,,,,12.50,4800016022258,,,Y,Y,15.00,33.000,
great-taste-premium-classic-pack,10405,GREAT TASTE PREMIUM CLASSIC PACK,FOOD,,N,,,,,,,97.56,4800016012365,,,Y,Y,127.00,1.000,
great-taste-premium-roast,10204,GREAT TASTE PREMIUM ROAST,FOOD,,N,,,,,,,12.35,4800016024917,,,Y,Y,15.00,26.000,
great-taste-stick,10194,GREAT TASTE STICK,DRINKS,,N,,,,,,,2.71,4800016012358,,,Y,Y,5.00,104.000,
great-taste-white-s.,10205,GREAT TASTE WHITE,FOOD,,N,,,,,,,8.20,4800016021039,,,Y,Y,10.00,29.000,
great-taste-white,98000050,GREAT TASTE WHITE TWIN PACK,DRINKS,,N,,,,,,,10.83,4800016022265,,,Y,Y,14.00,32.000,
gsm-blue-mojito,10434,GSM BLUE MOJITO,DRINKS,,N,,,,,,,133.00,4800130728128,,,Y,Y,155.00,2.000,
gsm-gin-frasquito-350ml,10466,GSM GIN FRASQUITO 350ML,DRINKS,,N,,,,,,,86.00,4800130100030,,,Y,Y,98.00,3.000,
gsm-gin-round,10465,GSM GIN ROUND 350ML,DRINKS,,N,,,,,,,81.60,4800130100023,,,Y,Y,95.00,3.000,
happy-bbq,10182,HAPPY BBQ,SNACKS,,N,,,,,,,1.10,4800092330629,,,Y,Y,2.00,-10.000,
happy-chicken-adobo-5g,10409,HAPPY CHICKEN ADOBO 5G,SNACKS,,N,,,,,,,1.10,4800092330971,,,Y,Y,2.00,45.000,
happy-classic,10179,HAPPY CLASSIC,SNACKS,,N,,,,,,,1.10,4800092331657,,,Y,Y,2.00,-10.000,
happy-hotnspcy,10181,HAPPY HOT N SPICY,SNACKS,,N,,,,,,,1.10,4800092330698,,,Y,Y,2.00,5.000,
happy-med-colored-diapers,10082,HAPPY MED COLORED DIAPERS,BABY ESSENTIALS,,N,,,,,,,0.00,4802288852120,,,N,Y,230.00,,
happy-nuts-sweet-chili-5g,10410,HAPPY NUTS SWEET CHILI 5G,SNACKS,,N,,,,,,,1.10,4800092331923,,,Y,Y,2.00,21.000,
happy-xl-colored,10081,HAPPY XL COLORED,BABY ESSENTIALS,,N,,,,,,,0.00,4802288864123,,,N,Y,280.00,,
head&-shoulders(cool-menthol),980000033,HEAD& SHOULDERS(COOL MENTHOL),BATH ESSENTIALS,,N,,,,,,,7.17,4902430333597,,,Y,Y,8.98,59.000,5.000
h&s-ss,980000034,HEAD& SHOULDERS(SMOOTH & SILKY),BATH ESSENTIALS,<p>SMOOTH AND SILKY / PINK</p>,N,,,,,,,7.17,4902430698658,,,Y,Y,8.98,57.000,
helix-hx3-20w-50-1l,1,HELIX HX3 20W-50 1L,SHELL,,N,,,,,,,0.00,5011987095687,,,N,Y,345.00,,
helix-hx3-20w-50-1l-1,103511,HELIX HX3 20W-50 1L,SHELL,,N,,,,,,,0.00,5011987095687,,,N,Y,345.00,,
hiho-garlic,10184,HIHO GARLIC,SNACKS,,N,,,,,,,0.00,4800092331619,,,Y,Y,2.00,44.000,
hobe-chkn-stnghn,10200,HOBE CHKN STNGHN,FOOD,,N,,,,,,,27.49,4800528453601,,,Y,Y,32.50,11.000,
hobe-instant-sotanghon,10199,HOBE INSTANT SOTANGHON,FOOD,,N,,,,,,,27.49,4800528453618,,,Y,Y,32.50,11.000,
holiday-beef-loaf,10260,HOLIDAY BEEF LOAF,FOOD,,N,,,,,,,21.00,4800066121154,,,Y,Y,25.00,1.000,
holiday-beef-loaf-215g,10478,HOLIDAY BEEF LOAF 215G,FOOD,,N,,,,,,,30.10,4800066121215,,,Y,Y,40.00,6.000,
holiday-corned-beef-150g,10483,HOLIDAY CORNED BEEF 150G,FOOD,,N,,,,,,,35.95,4800066122168,,,Y,Y,42.00,6.000,
holiday-luncheon-meat,10071,HOLIDAY LUNCHEON MEAT,FOOD,,N,,,,,,,32.00,4800066129150,,,Y,Y,38.00,6.000,
holiday-p&b-170g,10036,HOLIDAY P&B 170G,FOOD,,N,,,,,,,0.00,4800066120171,,,Y,Y,23.00,28.000,
holiday-spicy-corned-beef,10069,HOLIDAY SPICY CORNED BEEF,FOOD,,N,,,,,,,0.00,4800066122304,,,Y,Y,38.00,2.000,
holiday-vienna-sausage,10070,HOLIDAY VIENNA SAUSAGE,FOOD,,N,,,,,,,0.00,4800066124902,,,Y,Y,45.00,26.000,
ice-cube-1kl,10298,ICE CUBE 1KG,ICE,,N,,,,,,,13.00,,,,Y,Y,25.00,8.000,
ice-cube-2kg,10299,ICE CUBE 2KG,ICE,,N,,,,,,,24.00,15,,,Y,Y,35.00,13.000,
ice-cube-3kg,10300,ICE CUBE 3KG,ICE,,N,,,,,,,33.00,,,,Y,Y,45.00,0.000,
ideal-gourmet-lasagna,98000098,IDEAL GOURMET LASAGNA,FOOD,,N,,,,,,,125.00,4800030467202,,,Y,Y,150.00,5.000,
ideal-gourmet-spaghetti,98000099,IDEAL GOURMET SPAGHETTI,FOOD,,N,,,,,,,120.25,480003011110,,,Y,Y,145.00,5.000,
ivory-grains-classic-5kg,98000066,IVORY GRAINS CLASSIC 5KG,RICE,,N,,,,,,,264.50,4806520647796,,,Y,Y,300.00,8.000,5.000
jersey-chocolate-condensada,10472,JERSEY CHOCOLATE CONDENSADA 390G,FOOD,,N,,,,,,,60.00,4806516762427,,,Y,Y,70.00,3.000,
jersey-condensed-creamer,10474,JERSEY CONDENSED CREAMER,FOOD,,N,,,,,,,45.00,4806516761888,,,Y,Y,55.00,3.000,
jersey-ube-condensed-creamer,10475,JERSEY UBE CONDENSED CREAMER 390G,FOOD,,N,,,,,,,57.00,4806516762632,,,Y,Y,67.00,3.000,
joy--kalamansi-dishwashing-liquid,980000014,JOY  KALAMANSI DISHWASHING LIQUID 18.5ML,Cleaning/Laundry Supplies,,N,,,,,,,6.25,4902430434393,,,Y,Y,8.98,24.000,12.000
joy-dishwashing-liquid-antibac-17ml,980000017,JOY DISHWASHING LIQUID ANTIBAC 17ML,Cleaning/Laundry Supplies,,N,,,,,,,6.25,4902430389549,,,Y,Y,8.98,12.000,
joy-kalamansi-dishwashing-liquid-140ml,98000006,JOY KALAMANSI DISHWASHING LIQUID 140ML,Cleaning/Laundry Supplies,,N,,,,,,,42.52,4987176338167,,,Y,Y,44.98,6.000,
joy-lemon-dishwashing-liquid-40ml,980000015,JOY KALAMANSI DISHWASHING LIQUID 40ML,Cleaning/Laundry Supplies,,N,,,,,,,12.63,4902430389532,,,Y,Y,16.98,10.000,
joy-lemon-dishwashing-liquid-18.5ml,980000013,JOY LEMON DISHWASHING LIQUID 18.5ML,Cleaning/Laundry Supplies,,N,,,,,,,6.25,4902430389570,,,Y,Y,8.98,24.000,12.000
joy-lemon-dishwashing-liquid-40ml-1,980000016,JOY LEMON DISHWASHING LIQUID 40ML,Cleaning/Laundry Supplies,,N,,,,,,,12.63,4902430389563,,,Y,Y,16.98,12.000,
kami-bathroom-tissue,10425,KAMI BATHROOM TISSUE,HOME ESSENTIALS,,N,,,,,,,10.55,6924180200347,,,Y,Y,15.00,3.000,
keratin-plus-(gold)-20g,10242,KERATIN PLUS (GOLD) 20g,HOME ESSENTIALS,,N,,,,,,,6.00,4806515161511,,,Y,Y,9.98,17.000,5.000
kings-longkou-vermicelli-180z,98000081,KINGS LONGKOU VERMICELLI 180Z,FOOD,,N,,,,,,,0.00,6902482001015,,,Y,Y,variable,24.000,
kings-longkou-vermicelli-180z-1,98000082,KINGS LONGKOU VERMICELLI 180Z,FOOD,,N,,,,,,,15.73,6902482001015,,,Y,Y,25.00,24.000,
kings-longkou-vermicelli-200g,98000083,KINGS LONGKOU VERMICELLI 200G,FOOD,,N,,,,,,,0.00,6902482001008,,,Y,Y,variable,12.000,
kings-longkou-vermicelli-200g-1,98000084,KINGS LONGKOU VERMICELLI 200G,FOOD,,N,,,,,,,33.33,6902482001008,,,Y,Y,45.00,11.000,
kings-longkou-vermicelli-250g,98000085,KINGS LONGKOU VERMICELLI 250G,FOOD,,N,,,,,,,0.00,6902482003453,,,Y,Y,variable,10.000,
kings-longkou-vermicelli-250g-1,98000086,KINGS LONGKOU VERMICELLI 250G,FOOD,,N,,,,,,,64.48,6902482003453,,,Y,Y,80.00,10.000,
kings-longkou-vermicelli-40g,98000080,KINGS LONGKOU VERMICELLI 40G,FOOD,,N,,,,,,,8.00,6902482001022,,,Y,Y,15.00,24.000,
kopiko-blk,10174,KOPIKO BLACK 2PK,FOOD,,N,,,,,,,13.40,8998666001702,,,Y,Y,16.98,7.000,
kopiko-blanca,10175,KOPIKO BLANCA 2PK,FOOD,,N,,,,,,,13.40,8998666001726,,,Y,Y,16.98,3.000,
kopiko-brown,10176,KOPIKO BROWN 2PK,FOOD,,N,,,,,,,13.40,8998666001719,,,Y,Y,16.98,9.000,
kropek-ni-mangjuan,10226,KROPEK NI MANGJUAN 90G,SNACKS,,N,,,,,,,23.01,4800016115943,,,Y,Y,29.98,5.000,
kulafu-700ml,10435,KULAFU 700ML,DRINKS,,N,,,,,,,86.90,4800130300584,,,Y,Y,110.00,1.000,
la-mia-tuna-afrtda,10233,LA MIA TUNA AFRTDA,FOOD,,N,,,,,,,33.18,,,,Y,Y,38.00,10.000,
la-mia-tuna-flksnoil,10234,LA MIA TUNA FLKSNOIL,FOOD,,N,,,,,,,33.18,,,,Y,Y,38.00,10.000,
la-mia-tuna-hotspcy,10232,LA MIA TUNA HOTSPCY,FOOD,,N,,,,,,,33.18,,,,Y,Y,38.00,12.000,
lampein---m-12pcs,10028,LAMPEIN - M 12PCS,BABY ESSENTIALS,<p>12 PCS - MEDIUM</p>,N,,,,,,,0.00,4806506319624,,,Y,Y,125.00,12.000,
lampein---m-15pcs,10029,LAMPEIN - M 15+1,BABY ESSENTIALS,<p>MEDIUM 15 PCS</p>,N,,,,,,,0.00,4806506319556,,,Y,Y,155.00,8.000,
lampein---m-4pcs,10030,LAMPEIN - M 4PCS,BABY ESSENTIALS,,N,,,,,,,0.00,4806506319723,,,Y,Y,40.00,4.000,
lampein-nb-s-12pcs,10073,LAMPEIN NB-S 12PCS,BABY ESSENTIALS,,N,,,,,,,0.00,4806506319617,,,Y,Y,110.00,10.000,
lampein-pants---xl-25+2,10031,LAMPEIN PANTS - XL 25+2,BABY ESSENTIALS,<p>LAMPEIN XL ORANGE</p>,N,,,,,,,0.00,4806506317149,,,Y,Y,265.00,0.000,
lampein-xxl-12pcs,10078,LAMPEIN XXL 12PCS,BABY ESSENTIALS,,N,,,,,,,0.00,4806506319372,,,Y,Y,145.00,3.000,
lemon-square-cheese-cake,10330,LEMON SQUARE CHEESE CAKE,FOOD,,N,,,,,,,7.70,4809010626011,,,Y,Y,11.98,0.000,
lemon-square-cheese-cake-pack,10375,LEMON SQUARE CHEESE CAKE PACK,SNACKS,,N,,,,,,,77.00,4809010626332,,,Y,Y,99.98,1.000,
lemon-square-lava-cake,10332,LEMON SQUARE LAVA CAKE,FOOD,,N,,,,,,,7.80,4806018405785,,,Y,Y,9.98,1.000,
lemon-square-lava-cake-pack,10378,LEMON SQUARE LAVA CAKE PACK,SNACKS,,N,,,,,,,78.00,4806018405792,,,Y,Y,89.98,1.000,
lemonsquare-inipit,10331,LEMONSQUARE INIPIT,FOOD,,N,,,,,,,5.82,,,,Y,Y,8.98,0.000,
liberty-condensada,10470,LIBERTY CONDENSADA 374G,FOOD,,N,,,,,,,59.00,4800575885004,,,Y,Y,69.00,3.000,
lift-berry-bolt-320,10111,LIFT BERRY BOLT 320,DRINKS,,N,,,,,,,14.17,4801981098095,,,Y,Y,18.00,16.000,
lift-citrus-blast-320,10110,LIFT CITRUS BLAST 320,DRINKS,,N,,,,,,,41.16,4801981098088,,,Y,Y,18.00,10.000,
lion-tiger-katol,10043,LION TIGER KATOL - COIL,HOME ESSENTIALS,,N,,,,,,,4.00,4800101008884,,,N,Y,5.00,,
lorens-1908-patis-flavor,98000087,LORENS 1908 PATIS FLAVOR,FOOD,,N,,,,,,,0.00,4804888999229,,,Y,Y,variable,6.000,
lorens-1908-patis-flavor-1,98000089,LORINS 1908 PATIS FLAVOR,FOOD,,N,,,,,,,55.14,4804888999229,,,Y,Y,70.00,6.000,
lorins-since-1973-soy-souce,98000090,LORINS SINCE 1973 SOY SOUCE,FOOD,,N,,,,,,,0.00,4804888999076,,,Y,Y,variable,6.000,
lorins-since-1973-soy-souce-1,98000091,LORINS SINCE 1973 SOY SOUCE,FOOD,,N,,,,,,,45.73,4804888999076,,,Y,Y,60.00,6.000,
lkyme-beef,10164,LUCKYME BEEF,FOOD,,N,,,,,,,8.95,4807770270017,,,Y,Y,11.98,16.000,
lucky-me-chicken-noodles,10320,LUCKYME CHICKEN NOODLES,FOOD,,N,,,,,,,8.95,4807770270024,,,Y,Y,11.98,8.000,
luckyme-go-cup-batchoy,10399,LUCKYME GO CUP BATCHOY,FOOD,,N,,,,,,,23.65,4807770271168,,,Y,Y,30.75,5.000,
luckyme-go-cup-bulalo,10398,LUCKYME GO CUP BULALO,SNACKS,,N,,,,,,,23.65,4807770271175,,,Y,Y,30.75,5.000,
luckyme-mac-&-cheese,10321,LUCKYME MAC & CHEESE,FOOD,,N,,,,,,,24.25,4807770272660,,,Y,Y,28.98,2.000,
lkyme-pnctcntn-chilimansi,9800030,LUCKYME PANCITCANTON CHILIMANSI,FOOD,,N,,,,,,,12.50,4807770270291,,,Y,Y,16.00,16.000,
lkyme-pnctcntn-kal,10165,LUCKYME PANCITCANTON KALAMANSI,FOOD,,N,,,,,,,12.50,4807770270123,,,Y,Y,16.00,22.000,
lkyme-pnctcntn-orig,10166,LUCKYME PANCITCANTON ORIG,FOOD,,N,,,,,,,0.00,4807770270055,,,Y,Y,16.00,6.000,
lkyme-pnctcntn-xtrahot,10167,LUCKYME PANCITCANTON XTRAHOT,FOOD,,N,,,,,,,0.00,4807770271229,,,Y,Y,16.00,4.000,
magic-chips-bbq,10224,MAGIC CHIPS BBQ,SNACKS,,N,,,,,,,7.92,4800016082979,,,Y,Y,10.00,43.000,
magic-chips-cheese,10195,MAGIC CHIPS CHEESE,SNACKS,,N,,,,,,,6.22,4803925033421,,,Y,Y,9.00,38.000,
magic-creams-butter,10214,MAGIC CREAMS BUTTER,SNACKS,,N,,,,,,,5.55,4800016087592,,,Y,Y,9.00,14.000,
magic-creams-choco,10213,MAGIC CREAMS CHOCO,SNACKS,,N,,,,,,,5.55,4800016087554,,,Y,Y,9.00,15.000,
magic-creams-condensed,10212,MAGIC CREAMS CONDENSED,SNACKS,,N,,,,,,,5.55,4800016087578,,,Y,Y,9.00,13.000,
magic-creams-peanut-butter,10211,MAGIC CREAMS PEANUT BUTTER,SNACKS,,N,,,,,,,5.55,4800016087615,,,Y,Y,9.00,10.000,
magic-flakes,10225,MAGIC FLAKES,SNACKS,,N,,,,,,,5.51,4800016087684,,,Y,Y,9.00,32.000,
magic-flakes-cheese,10210,MAGIC FLAKES CHEESE,SNACKS,,N,,,,,,,5.55,4800016082641,,,Y,Y,9.00,11.000,
magic-flakes-pack,10001,MAGIC FLAKES PACK,SNACKS,,N,,,,,,,55.10,4800016087943,,,N,Y,88.00,,
magic-flakes-pack-1,123,MAGIC FLAKES PACK,SNACKS,,N,,,,,,,55.10,4800016087943,,,N,Y,88.00,,
magic-sarap-sachit-1,10382@,MAGIC SARAP SACHET,HOME ESSENTIALS,,N,,,,,,,5.00,48025522,,,Y,Y,7.00,35.000,5.000
mama-sita-oyster-sauce-30g,10209,MAMA SITA OYSTER SAUCE 30G,FOOD,,N,,,,,,,6.25,4804888809474,,,Y,Y,9.00,12.000,
mang-juan-sukang-paombong,10139,MANG JUAN SUKANG PAOMBONG 26G,SNACKS,,N,,,,,,,8.00,4800016110535,,,Y,Y,12.25,2.000,
mang-juan-sukang-paombong-90g,10216,MANG JUAN SUKANG PAOMBONG 90G,SNACKS,,N,,,,,,,22.50,4800016110511,,,Y,Y,29.75,4.000,
mang-juan-sukatsili,98000071,MANG JUAN SUKAT SILI 26G,SNACKS,,N,,,,,,,6.30,4800016110542,,,Y,Y,12.25,2.000,
mang-juan-suka'tsili-90g,10215,MANG JUAN SUKAT SILI 90G,SNACKS,,N,,,,,,,22.50,4800016110528,,,Y,Y,29.75,7.000,
marty's-cracklings-chick-insl-90g,10401,MARTY'S CRACKLINGS CHICK INSL 90G,SNACKS,,N,,,,,,,21.90,4800194179836,,,Y,Y,28.50,4.000,
marty's-cracklings-pln-sltd-90g,10403,MARTY'S CRACKLINGS PLN SLTD 90G,SNACKS,,N,,,,,,,21.90,4800194179881,,,Y,Y,28.50,4.000,
marty's-cracklings-spcy-vngr-90g,10402,MARTY'S CRACKLINGS SPCY VNGR 90G,SNACKS,,N,,,,,,,21.90,4800194179898,,,Y,Y,28.50,3.000,
maxx-candy,10431,MAXX CANDY,,,N,,,,,,,0.83,,,,N,Y,5.00,,
mayon-cream-corn-425g,10034,MAYON CREAM CORN 425G,FOOD,<p>MAYON CREAM STYLE CORN 425G</p>,N,,,,,,,0.00,4806508624511,,,Y,Y,41.50,3.000,
mayon-whole-kernel,10072,MAYON WHOLE KERNEL,FOOD,,N,,,,,,,0.00,4806508624504,,,Y,Y,41.50,6.000,
megasoft-tissue,10076,MEGASOFT TISSUE,HOME ESSENTIALS,,N,,,,,,,0.00,4806506316005,,,Y,Y,17.50,0.000,
mighty-bond,10315,MIGHTY BOND,HOME ESSENTIALS,,N,,,,,,,0.00,4800374032135,,,Y,Y,15.00,175.000,
mighty-pula-20-stick-2,98000110,MIGHTY PULA  STICK,,,N,,,,,,,8.02,4032900150291,,,Y,Y,10.00,5.000,10.000
mighty-pula-kaha-1,98000107,MIGHTY PULA KAHA,HOME ESSENTIALS,,N,,,,,,,164.00,4032900150291,,,Y,Y,185.00,6.000,
mighty-puti-kaha,98000111,MIGHTY PUTI KAHA,,,N,,,,,,,164.00,48041812,,,Y,Y,185.00,3.000,
mighty-puti-stick,98000112,MIGHTY PUTI STICK,,,N,,,,,,,8.02,48041812,,,Y,Y,10.00,13.000,
milo,10173,MILO,FOOD,,N,,,,,,,9.25,4800361413480,,,Y,Y,12.00,13.000,0.000
minute-maid-250,10118,MINUTE MAID 250,DRINKS,,N,,,,,,,0.00,4801981120147,,,Y,Y,12.00,0.000,
misua-pack-12s,10041,MISUA PACK 12S,FOOD,,N,,,,,,,0.00,4809011532809,,,Y,Y,52.00,5.000,
misua-per-piece,10042,MISUA PER PIECE,FOOD,,N,,,,,,,0.00,,,,Y,Y,5.00,98.000,
moby-caramel,10152,MOBY CARAMEL,SNACKS,,N,,,,,,,8.25,4800523220802,,,Y,Y,11.00,5.000,
moby-caramel-puffs-60g,10393,MOBY CARAMEL PUFFS 60G,SNACKS,,N,,,,,,,18.25,4800523220987,,,Y,Y,23.75,1.000,
moby-crunchy-chocolate,10389,MOBY CRUNCHY CHOCOLATE,SNACKS,,N,,,,,,,8.25,4800523220284,,,Y,Y,11.00,0.000,
modess-regular-12-pads,10426,MODESS REGULAR 12 PADS,FEMININE CARE,,N,,,,,,,60.00,8850007371441,,,Y,Y,75.00,4.000,
modess-w/-wings-8pcs,10080,MODESS W/ WINGS 8PCS,FEMININE CARE,,N,,,,,,,0.00,8850007371403,,,Y,Y,52.00,0.000,
monde-special-mamon,10333,MONDE SPECIAL MAMON,FOOD,,N,,,,,,,16.00,4807770121326,,,Y,Y,29.98,30.000,
monde-special-mamon-pack,10376,MONDE SPECIAL MAMON PACK,,,N,,,,,,,96.00,4807770121333,,,Y,Y,149.98,5.000,
monggo,10060,MONGGO,FOOD,,N,,,,,,,0.00,,,,Y,Y,25.00,42.000,
mountain-dew-(290ml),10239,MOUNTAIN DEW (290ML),DRINKS,,N,,,,,,,16.35,4803925130328,,,Y,Y,20.00,3.000,5.000
mountain-dew-1.5l,10275,MOUNTAIN DEW 1.5L,DRINKS,,N,,,,,,,62.00,4803925151149,,,Y,Y,72.00,5.000,
mr-chips-manamis-mais,10219,MR CHIPS MANAMIS MAIS 45G,SNACKS,,N,,,,,,,8.19,4800016666445,,,Y,Y,12.50,34.000,
mr-chips-nacho-cheese-98g,10218,MR CHIPS NACHO CHEESE 98G,SNACKS,,N,,,,,,,19.50,4800016653094,,,Y,Y,25.50,9.000,
mr.-chips-24g,10148,MR. CHIPS  NACHO CHEEZE 4G,SNACKS,,N,,,,,,,5.45,4800016652035,,,Y,Y,9.75,5.000,
muncher-green-peas,10394,MUNCHER GREEN PEAS,SNACKS,,N,,,,,,,1.09,4806511010080,,,N,Y,2.00,,
natalicious,10196,natalicious,SNACKS,,N,,,,,,,0.00,4806529170271,,,Y,Y,10.00,0.000,
nature's-spring-distilled-1000ml,10439,NATURE'S SPRING DISTILLED 1000ML,DRINKS,,N,,,,,,,16.43,4800049720220,,,Y,Y,28.00,12.000,
